WSP_takeover_Button,"Смотреть рекламу"
popup_chapters_name_episode499,"Шепот волшебной палочки"
popup_chapters_name_episode5,"Кошачий фьорд"
popup_chapters_name_episode50,"Проклятая Калейдоскопия"
popup_chapters_name_episode500,"Звездопад Стеллы"
popup_chapters_name_episode501,"Пробуждение ведьмы"
popup_chapters_name_episode502,"Паника из-за зелья"
popup_chapters_name_episode503,"Волшебный котел"
popup_chapters_name_episode504,"Заколдованный лес"
popup_chapters_name_episode505,"Взрыв шариков"
popup_chapters_name_episode506,"Зачарованные берега"
popup_chapters_name_episode507,"Поляна фей"
popup_chapters_name_episode508,"Войны волшебных палочек"
popup_chapters_name_episode509,"Фокусы Уильмура"
popup_chapters_name_episode51,"Затерянное логово"
popup_chapters_name_episode510,"Злая волшебница"
popup_chapters_name_episode511,"Небесные чары"
popup_chapters_name_episode512,"Волшебное пристанище"
popup_chapters_name_episode513,"Ритуал на луну"
popup_chapters_name_episode514,"Столкновение кристаллов"
popup_chapters_name_episode515,"Бой с тенью"
popup_chapters_name_episode516,"Колдовской гамбит"
popup_chapters_name_episode517,"Колдовская метель"
popup_chapters_name_episode518,"Проклятие шариков"
popup_chapters_name_episode519,"Древние руны"
popup_chapters_name_episode52,Воришка-мурлыка
popup_chapters_name_episode520,"Задание от Стеллы"
popup_chapters_name_episode521,"Тропинка Уильмура"
popup_chapters_name_episode522,"Зачарованное эхо"
popup_chapters_name_episode523,"Волшебное зеркало"
popup_chapters_name_episode524,"Головоломка с зельем"
popup_chapters_name_episode525,"Яма с призраками"
popup_chapters_name_episode526,"Лес шариков"
popup_chapters_name_episode527,"Небесная лестница"
popup_chapters_name_episode528,"Таинственный лунный свет"
popup_chapters_name_episode529,"Заколдованные шарики"
popup_chapters_name_episode53,"Дикие нагорья"
popup_chapters_name_episode530,"Мрачный грот"
popup_chapters_name_episode531,"Страна чудес Уильмура"
popup_chapters_name_episode532,"Заколдованное болото"
popup_chapters_name_episode533,"Колдовской слет"
popup_chapters_name_episode534,"Эхо Элдрича"
popup_chapters_name_episode535,"Ведьмин карнавал"
popup_chapters_name_episode536,"Звездная книга заклинаний"
popup_chapters_name_episode537,"Кот-астрофа Уильмура"
popup_chapters_name_episode538,"Туманный луг"
popup_chapters_name_episode539,"Волшебная сфера"
popup_chapters_name_episode54,"Переменчивое озеро"
popup_chapters_name_episode540,"Небесный котел"
popup_chapters_name_episode541,"Буря звездной пыли"
popup_chapters_name_episode542,"Спектральная магия"
popup_chapters_name_episode543,"Искрящаяся поляна"
popup_chapters_name_episode544,"Загадочный лабиринт"
popup_chapters_name_episode545,"Полет на метле"
popup_chapters_name_episode546,"Магия лунного света"
popup_chapters_name_episode547,"Шепчущиеся ивы"
popup_chapters_name_episode548,"Убежище Стеллы"
popup_chapters_name_episode549,"Усадьба Уильмура"
popup_chapters_name_episode55,Геомеханизмы
popup_chapters_name_episode550,"Сумеречный клубок"
popup_chapters_name_episode551,"Заколдованные острова"
popup_chapters_name_episode552,"Багровый шабаш"
popup_chapters_name_episode553,"Котел хаоса"
popup_chapters_name_episode554,"Логово призрака"
popup_chapters_name_episode555,"Черная ведьма"
popup_chapters_name_episode556,"Неистовство Неро"
popup_chapters_name_episode557,"Мерцающий грот"
popup_chapters_name_episode558,"Колдовской ручей"
popup_chapters_name_episode559,"Волшебные туманы"
popup_chapters_name_episode56,"Большие джунгли"
popup_chapters_name_episode560,"Заклинание Уильмура"
popup_chapters_name_episode561,"Затерянная библиотека"
popup_chapters_name_episode562,"Волшебный зверинец"
popup_chapters_name_episode563,"Небесный шабаш"
popup_chapters_name_episode564,"Тропинка Неро"
popup_chapters_name_episode565,"Чудеса ведьминого леса"
popup_chapters_name_episode566,"Хрустальные пещеры"
popup_chapters_name_episode567,"Архивы арканов"
popup_chapters_name_episode568,"Зачарованные небеса"
popup_chapters_name_episode569,"Долина фей"
popup_chapters_name_episode57,"Обсерватория и пираты"
popup_chapters_name_episode570,"Деревня Уильмура"
popup_chapters_name_episode571,"Побег Неро"
popup_chapters_name_episode572,"Памятник с призраком"
popup_chapters_name_episode573,"Эхо старейшин"
popup_chapters_name_episode574,"Конференция по звездному огню"
popup_chapters_name_episode575,"Последний эпизод игры в шарики"
popup_chapters_name_episode576,"Проклятье Морганы"
popup_chapters_name_episode577,"Благословение Королевы фей"
popup_chapters_name_episode578,"Мудрость совы"
popup_chapters_name_episode579,"Месть Морганы"
popup_chapters_name_episode58,"Культовый остров"
popup_chapters_name_episode580,"Логово Уильмура"
popup_chapters_name_episode581,"Огненный шар Неро"
popup_chapters_name_episode582,"Шепот феи"
popup_chapters_name_episode583,"Лабиринт Морганы"
popup_chapters_name_episode584,"Корона королевы"
popup_chapters_name_episode585,"Пророчество совы"
popup_chapters_name_episode586,"Проделки Уильмура"
popup_chapters_name_episode587,"Заговор Неро"
popup_chapters_name_episode588,"Пыльца фей"
popup_chapters_name_episode589,"Полет Стеллы"
popup_chapters_name_episode59,"Волшебная усадьба"
popup_chapters_name_episode590,"Шалости Уильмура"
popup_chapters_name_episode591,"Тень Морганы"
popup_chapters_name_episode592,"Свет королевы"
popup_chapters_name_episode593,"Тайна совы"
popup_chapters_name_episode594,"Мечта Уильмура"
popup_chapters_name_episode595,"Победа Стеллы"
popup_chapters_name_episode596,"Черная магия Морганы"
popup_chapters_name_episode597,"Дар Королевы фей"
popup_chapters_name_episode598,"Тайное заклинание Уильмура"
popup_chapters_name_episode599,"Огненная тропа Неро"
popup_chapters_name_episode6,"Логово Лейлы"
popup_chapters_name_episode60,"Музыкальные грибы"
popup_chapters_name_episode600,"Последняя битва Стеллы"
popup_chapters_name_episode61,"Холодная пещера"
popup_chapters_name_episode62,"Загадочные статуи"
popup_chapters_name_episode63,"Лунная мгла"
popup_chapters_name_episode64,"Светящиеся мосты"
popup_chapters_name_episode65,"Тотемные мосты"
popup_chapters_name_episode66,"Грязные механизмы"
popup_chapters_name_episode67,"Ужасные лианы"
popup_chapters_name_episode68,"Уютное созвездие"
popup_chapters_name_episode69,"Шахматный проход"
popup_chapters_name_episode7,"Опасный проход"
popup_chapters_name_episode70,"Чудные острова"
popup_chapters_name_episode71,"Жуткие звуки"
popup_chapters_name_episode72,"Замороженный очаг"
popup_chapters_name_episode73,"Звездная лестница"
popup_chapters_name_episode74,"Парящее пламя"
popup_chapters_name_episode75,"Хрустальная пещера"
popup_chapters_name_episode76,Шутки-прибаутки
popup_chapters_name_episode77,"Золотые шестеренки"
popup_chapters_name_episode78,"Сиреневый свет"
popup_chapters_name_episode79,"Любопытные коты"
popup_chapters_name_episode8,Мур-мур-прогулка
popup_chapters_name_episode80,"Насмешливое море"
popup_chapters_name_episode81,"Кошачье семейство"
popup_chapters_name_episode82,"Снежное небо"
popup_chapters_name_episode83,"Храм тотема"
popup_chapters_name_episode84,Драконовед
popup_chapters_name_episode85,"Тонкая сила"
popup_chapters_name_episode86,Джебель-джунгли
popup_chapters_name_episode87,"Сокрытое болото"
popup_chapters_name_episode88,"Светящиеся камни"
popup_chapters_name_episode89,"Храбрый планетарий"
popup_chapters_name_episode9,"Глинистый каньон"
popup_chapters_name_episode90,"Яркие мосты"
popup_chapters_name_episode91,"Мудрёные деревья"
popup_chapters_name_episode92,"Железная глазурь"
popup_chapters_name_episode93,"Тыквенный проход"
popup_chapters_name_episode94,"Бескрайняя долина"
popup_chapters_name_episode95,"Светящиеся иллюзии"
popup_chapters_name_episode96,"Потерянные пейзажи"
popup_chapters_name_episode97,"Хрустальный замок"
popup_chapters_name_episode98,"Острые формы"
popup_chapters_name_episode99,"Небесные скульпторы"
popup_chapters_name_episode_180,"Причудливый плывун"
popup_chapters_name_episode_unused1,"Темно-синяя пещера"
popup_chapters_name_episode_unused2,"Пастельная прерия"
popup_chapters_title,"Выбери главу"
popup_character_flynn,Флинн
popup_compensation_button,"Вот твой подарок!"
popup_compensation_text,"Мы поколдовали, чтобы стереть данные о рангах, но твои звезды остались нетронутыми. В честь этого дарим тебе подарок!"
popup_compensation_title,Обновление!
popup_customer_care,"Служба поддержки"
popup_deep_link_text,"Ты и {0} теперь играете вместе!"
popup_deep_link_text2,"Ты, {0} и еще 1 друг теперь играете вместе!"
popup_deep_link_text3,"Ты, {0} и другие друзья ({1}) теперь играете вместе!"
popup_deep_link_title,Завораживающе!
popup_delayed_purchase_fail_text,"Не удается оформить твою покупку золотых слитков в количестве {0} шт. Извини!"
popup_delayed_purchase_fail_title,"Покупка застопорилась"
popup_delayed_purchase_success_text,"Мы подтверждаем твою покупку золотых слитков в количестве {0} шт. Извини за проволочку!"
popup_delayed_purchase_success_title,"Покупка состоялась!"
popup_demo_text1,"Эта версия Bubble Witch 3 Saga создана специально для демонстрационных целей"
popup_demo_text2,"Функция, недоступная в этой демоверсии"
popup_deselect_all_button,"Отменить выбор"
popup_egp_button_buy,"Продолжить за"
popup_egp_endgame_button,Выйти
popup_egp_error_text,"Что-то пошло не так. Нам очень жаль! Твои золотые слитки не использованы."
popup_egp_error_title,Ой!..
popup_egp_free_label,БЕСПЛАТНО!
popup_egp_limited_offer_label,"Предложение огран."
popup_egp_lose_everything,"Продолжай, чтобы сохранить всё это!"
popup_egp_lose_single_thing,"Продолжай, чтобы сохранить!"
popup_egp_normal_boss_fail,"Не получилось одолеть Уильмура!"
popup_egp_normal_clearall_fail,"Не все шарики убраны!"
popup_egp_normal_collect_fail,"Выпущено недостаточно совушек!"
popup_egp_normal_ghost_fail,"Путь наверх не расчищен!"
popup_egp_normal_morgana_fail,"Не получилось одолеть Моргану!"
popup_egp_normal_title,"Шарики закончились!"
popup_egp_soclose_boss_fail,"Силы Уильмура на исходе!"
popup_egp_soclose_clearall_fail,"Осталось убрать еще  {0} шт. шариков."
popup_egp_soclose_clearall_fail_singular,"Остался всего 1 шарик!"
popup_egp_soclose_collect_fail,"Осталось выпустить совушек: {0}"
popup_egp_soclose_collect_fail_singular,"Осталось отпустить всего 1 совушку!"
popup_egp_soclose_ghost_fail,"До верха осталось рядов: {0}."
popup_egp_soclose_ghost_fail_singular,"До верха остался всего 1 ряд!"
popup_egp_soclose_morgana_fail,"Силы Морганы на исходе!"
popup_egp_soclose_title,Почти!
popup_egp_special_offer_label,Акция!
popup_egp_success_title,Шарики!
popup_endcontent_allstars_body,"Ур-ра! Тебе удалось пройти уровень и собрать все звезды!"
popup_endcontent_allstars_title,Чудесно!
popup_endcontent_getstars_body,"Ты все еще можешь выиграть больше звезд на предыдущих уровнях. Продолжай играть!"
popup_endcontent_getstars_button,Вперед!
popup_endcontent_getstars_title,"Собери все звезды!"
popup_endcontent_nativesaring_text2,"Черт! Последний на данный момент уровень Bubble Witch 3 пройден!"
popup_endcontent_nativesharing_text,"Ну вот! {0} прошел(-ла) последний на данный момент уровень игры Bubble Witch 3 Saga!"
popup_endcontent_nativesharing_text2,"Потрясающе! Тебе удалось добраться до текущего последнего уровня и собрать все звезды!"
popup_endcontent_notify_me,"Уведомить меня, когда появятся новые уровни"
popup_endcontent_text,"Мы колдуем над новыми уровнями! А ты пока собери недостающие звезды!"
popup_endcontent_text_v1,"Тебе удалось пройти этот последний уровень! Сообщи всем эту новость и готовься к новым уровням, которые скоро появятся!"
popup_endcontent_text_v2,"Думаешь, это все? Тебя ждут новые уровни!"
popup_endcontent_text_v3,"У тебя получилось! Пройден последний на данный момент уровень игры Bubble Witch 3 Saga!"
popup_endcontent_title,"Чародеим новые уровни!"
popup_endcontent_title_v2,"Появились новые уровни!"
popup_endcontent_title_v3,Чудесно!
popup_error_compensation,"Ой-ой, похоже, во время последнего испытания наши чары не сработали! Но не переживай, мы наколдовали волшебный подарок, так что ты можешь попробовать снова. Веселись!"
popup_error_no_connection_title,"Нет соединения!"
popup_etl_nativesharing_subject,"Ну вот! {0} устанавливает новый рекорд!"
popup_etl_nativesharing_text,"У меня {0} оч. на уровне {1}! Сможешь набрать больше? #BubbleWitch3"
popup_etl_no_highscore,Score
popup_etl_title_1,"Новый рекорд!"
popup_etl_title_2,"Список лидеров"
popup_find_friends_button,"Найти друзей"
popup_flame_refill,"Пополнен 1 огонек!"
popup_friend_passed_button,Испытание
popup_friend_passed_nativesharing_text,"Я впереди тебя! Попытайся вернуть себе лидерство!"
popup_friend_passed_text_v1,"Друг {0} позади!"
popup_friend_passed_text_v2,"Друг {0} и еще один друг остались позади!"
popup_friend_passed_text_v3,"Друг {0} и еще несколько друзей ({1}) позади!"
popup_friend_passed_title,"Ты впереди!"
popup_general_button_close,Закрыть
popup_general_button_connect,Войти
popup_general_button_continue,Далее
popup_general_button_disconnect,Отключиться
popup_general_button_next,Далее
popup_general_button_no,Нет
popup_general_button_play,Играть
popup_general_button_retry,Заново
popup_general_button_send_lives,"Отправь жизни"
popup_general_button_yes,Да
popup_goldentournament_finalprize,"Главная золотая награда"
popup_goldentournament_mainbody,"Поучаствуй в турнире из 3 раундов, чтобы попасть в золотой финал и потягаться за лучшую золотую награду всех времен!"
popup_goldentournament_round1,"Раунд 1"
popup_goldentournament_round2,"Раунд 2"
popup_goldentournament_title,"Золотой турнир"
popup_goldentournament_top3,"3 лучших"
popup_google_promo_code_text,"Спасибо, что используешь промокоды Google!"
popup_hard_level,Сложно
popup_hard_level_v2,Мега-уровень
popup_inbox_autosend,"Всегда отправ."
popup_inbox_norequests_text,"Сейчас ведьмам-друзьям не нужны жизни. Проверь позже."
popup_inbox_sendlives_button,"Отправить всем"
popup_inbox_text,"Нескольким ({0}) ведьмам-друзьям нужна жизнь!"
popup_inbox_text_singular,"Одной ведьме-другу нужна жизнь!"
popup_inbox_title,Ведьмопочта
popup_inbox_tutorial,"Привет! Меня зовут Флинн! Я отвечаю за организацию взаимопомощи между тобой и твоими друзьями!"
popup_incentivize_invite_receive_text,"Игрок {0} шлет тебе подарок!"
popup_incentivize_invite_receive_title,"Тебе подарок!"
popup_incentivize_invite_send_text,"Отблагодари друзей подарком!"
popup_incentivize_invite_send_title,"Отправь подарок"
popup_incentivize_invite_text1,"Пригласи в игру друзей ({0} чел.) — и получи вместе с ними чудесные подарки!"
popup_incentivize_invite_text2,"А вот и подарок за приглашение друзей!"
popup_incentivize_rate,"Спасибо за твое мнение!"
popup_incentivize_reward_text1,"Спасибо, что играешь в Bubble Witch 3 Saga!"
popup_incentivize_reward_title,"А вот и подарок!"
popup_incentivize_share,"Спасибо, что разделяешь радость игры со своими друзьями!"
popup_incentivized_update,"Думаешь, это все? Готовься к новым уровням и специальной награде!"
popup_incentivized_update2,"Спасибо за обновление игры!"
popup_invite_all_invited,"Все друзья уже получили приглашения. Возвращайся позже."
popup_invite_button,Приглас.
popup_invite_text,"Друзья всегда тебе помогут!"
popup_invite_text2,"Все становится лучше с друзьями!"
popup_invite_title,"Пригласить друзей"
popup_life_refill,"Пополнена 1 жизнь!"
popup_limited_offer_title,"Режим бессмертия со скидкой!"
popup_lives_acceptfriends_button,Принять
popup_lives_button_ask_friends,"Попроси друзей"
popup_lives_button_buy,"Пополнить жизни"
popup_lives_envelope_tutorial_text,"Конверт будет появляться каждый раз, когда другу нужна помощь."
popup_lives_fromfriends_title,"Принять жизни"
popup_lives_generic_title,Жизни
popup_lives_help_arrived,"Поступила помощь"
popup_lives_help_coming,"Спешим на помощь!"
popup_lives_info,"Принять жизни и отправить в ответ"
popup_lives_nolives_title,"Жизни кончились!"
popup_lives_recharge,"+1 жизнь через:"
popup_lives_refill_fail_text,"К большому сожалению, не удалось полнить твои жизни. Повтори попытку через несколько минут."
popup_lives_refill_fail_title,Ой!..
popup_lives_refill_success_title,"ВСЕ жизни пополнены!"
popup_lives_unlimited,Бессмертие
popup_lives_unlimited_time_left,Осталось:
popup_magic_hat1,"1-я волшебная шляпа увеличивает счет!"
popup_magic_hat2,"2-я волшебная шляпа через каждые 5 ходов выпускает фею!"
popup_magic_hat3,"3-я волшебная шляпа дает сверхсильное заклинание!"
popup_magic_hat_all,"Всего есть 3 разных шляпы. Попробуй получить их все!"
popup_magic_link_share,"Открой волшебную ссылку, и вы станете друзьями по Bubble Witch 3 Saga:"
popup_magic_link_text,"Теперь другие игроки могут добавить тебя в друзья по Bubble с помощью волшебной ссылки! Поделись ею!"
popup_magic_link_title,"Волшебная ссылка"
popup_multi_invite,"Выбрать друга из:"
popup_nativesharing_share_button,"Расскажи про игру!"
popup_nativesharing_shared_subject,"Используй свои лучшие заклинания в этой новехонькой игре..."
popup_nativesharing_shared_text,"Побывай в нашем волшебном мире. Готовь свои лучшие заклинания! Играй в Bubble Witch 3 Saga! #BubbleWitch3"
popup_nativesharing_text,"Пригласи друзей! Пусть седлают свои метлы и прилетают в Bubble Witch 3 Saga!"
popup_nativesharing_title,"Палочки вверх!"
popup_nativesharing_tot_text,"Великолепно! Мне удалось помочь сорванцам в Bubble Witch 3 Saga!"
popup_nickname_enter,"Введи имя"
popup_nickname_text,"Выбери себе ник, чтобы получать жизни и помощь от других игроков."
popup_nickname_title,"Выбери ник!"
popup_not_available,Недоступно
popup_notification_setup_enable,Включено
popup_notification_setup_text,"Я хочу получать на этом устройстве уведомления о новых приключениях, восстановлении жизней и другую информацию."
popup_notification_setup_title,Уведомления
popup_notify_button,Уведомить
popup_notify_me_lives_arrive,"Сообщить мне, когда появятся жизни"
popup_notify_me_lives_full,"Сообщить мне, когда будут все жизни"
popup_owl_hint,"Если видишь сову, значит другу нужна помощь. Коснись ее, чтобы помочь!"
popup_play_together_text,"Похоже, {0} приглашает тебя в игру! Сохрани свой прогресс и начинай совместную игру!"
popup_play_together_title,"Играйте вместе!"
popup_playmore_text,"Ты еще можешь зайти в пещеру сокровищ и выиграть чудесные призы!"
popup_playmore_text2,"Не забывай, что можешь продолжить играть, пока Лейла добывает новые волшебные огни!"
popup_playmore_text5,"Ты еще можешь принять участие в Кубке ведьм и выиграть потрясающие призы!"
popup_playmore_text_10,"Ты все еще можешь отправиться на поиски и найти тайные заклинания Люси раньше всех!"
popup_playmore_title,"Продолжай играть!"
popup_privacy_policy,"Политика конфиденциальности"
popup_profile_button,Профиль
popup_quit_game_button_no,Нет
popup_quit_game_button_yes,Да
popup_quit_game_message,"Точно хочешь выйти из игры?"
popup_quit_game_title,"Подтверди выход"
popup_quit_level_button_quit,Выйти
popup_quit_level_message1,"Точно хочешь покинуть уровень?"
popup_quit_level_message2,"Ты потеряешь жизнь"
popup_quit_level_text,"Покидаешь уровень?
Ты потеряешь жизнь"
popup_quit_level_title,Выйти?
popup_rateflow_introduction_text,"Тебе нравится играть в Bubble Witch 3 Saga?"
popup_rateflow_introduction_title,"Нравится игра?"
popup_rateflow_rate_dontask_checkbox,"Не спрашивать"
popup_rateflow_rate_text,"Расскажи нам, нравится ли тебе игра — и мы будем поддерживать вращение этого волшебного мира!"
popup_rateflow_rate_title,"Оставь отзыв!"
popup_rateflow_sorry_text,"Хочешь обратиться в службу поддержки? Там помогут решить любую проблему!"
popup_rateflow_sorry_title,Прости!
popup_rateflow_thank_title,Спасибо!
popup_requests_checkbox,"Отправлять автоматически"
popup_requests_text,"Шлем жизни твоим друзьям!"
popup_requests_text_1,"{0} просит жизнь!"
popup_requests_text_2,"{0} и еще 1 друг просят жизни!"
popup_requests_text_3,"{0} и другие друзья ({1}) просят жизни!"
popup_requests_text_4,"Отправляем жизнь другу {0}!"
popup_requests_text_5,"Отправляем жизнь другу {0} и еще 1 другу!"
popup_requests_text_6,"Отправляем жизнь другу {0} и другим друзьям ({1})!"
popup_requests_title,"Запросы от друзей"
popup_retry_fail_title,"Уровень не пройден."
popup_save_progress_text,"Продолжай играть на том же уровне, вне зависимости от того, что будет с устройством."
popup_save_progress_text_2,"Сохраняй золотые слитки и прогресс, что бы ни случилось с устройством."
popup_save_progress_text_3,"Ты сможешь продолжить приключение с любого устройства и выиграть золотые слитки — {0} шт."
popup_save_progress_title,"Сохрани свой прогресс!"
popup_select_all_button,"Выбрать всех"
popup_send_button,Отправить
popup_settings_button_customer_support,"Служба 
поддержки"
popup_settings_button_disconnect,Отключиться
popup_settings_button_faq,ЧаВо
popup_settings_button_main_menu,Меню
popup_settings_button_music_off,"ВЫКЛ. музыку"
popup_settings_button_music_on,"ВКЛ. музыку"
popup_settings_button_privacy_policy,"Политика 
Конфиденц."
popup_settings_button_service_conditions,"Условия 
пользования"
popup_settings_button_sound_off,"ВЫКЛ. звук"
popup_settings_button_sound_on,"ВКЛ. звук"
popup_settings_quit_button,Выйти
popup_social_invite,"Пригласи друзей в игру!"
popup_socialbingo_expiration,"Время на сбор цветов вышло. Вступай в другую команду!"
popup_socialbingo_hurryup,"Собери 4 цветка и получи сладкие призы до того, как истечет время!"
popup_socialbingo_join,"Играем вместе! Вступай в команду и разбуди Мудрое Дерево!"
popup_socialbingo_looking,"Собираем команду! Вернись попозже."
popup_socialbingo_new,"Новое поле!"
popup_socialbingo_noreward,"Твоя команда собрала 4 цветка, но без тебя. Вступай в другую команду, чтобы получить награды!"
popup_socialbingo_quest_booster,"Используй заклинание {0} раз(а)."
popup_socialbingo_quest_boostersingular,"Используй заклинание 1 раз."
popup_socialbingo_quest_bounce,"Отрикошеть от стен {0} раз(а)."
popup_socialbingo_quest_ghost,"Проведи привидения на {0} ряд(ов) вверх."
popup_socialbingo_quest_limit,"За день ты можешь собрать всего 2 цветка!"
popup_socialbingo_quest_orb,"Лопни {0} шт. шариков любого цвета с помощью сферы."
popup_socialbingo_quest_owl,"Спаси совушек: {0}"
popup_socialbingo_task,Задание:
popup_socialbingo_task_taken,"Этот цветок уже получил другой участник команды!"
popup_socialbingo_title,"Разбуди дерево"
popup_socialbingo_tuto0,"Давай разбудим Мудрое Дерево!"
popup_socialbingo_tuto1,"Это твоя команда. Сообща зарабатывайте призы!"
popup_socialbingo_tuto2,"Если команда соберет 4 цветка, все, кто помогал, получат призы!"
popup_socialbingo_tuto3,"Выбери клетку, чтобы выполнить задание и собрать один из цветков!"
popup_special_level_text,"У тебя появилась способность создавать особые шарики! Сыграй на особом уровне и опробуй ее!"
popup_special_level_title,"Особый уровень"
popup_spinner_waiting_text,"Творится магия..."
popup_stardust,"Звездная пыль"
popup_start_level_highscores_title,Рекорды
popup_start_level_mode_boss,"Одолей Уильмура!"
popup_start_level_mode_clear,"Убери все шарики!"
popup_start_level_mode_collect,"Освободи совушек!"
popup_start_level_mode_defeat_morgana,"Победи Моргану!"
popup_start_level_mode_ghost,"Проведи привидение наверх!"
popup_start_level_number_title,"Уровень {0}"
popup_super_hard1,Сверхсложный
popup_super_hard2,"Сверхсложный уровень"
popup_swipe_celebrate,Победа!
popup_swipe_fail,Провал!
popup_swipe_goal_title,Цель
popup_swipe_mode_boss,"Выпускай фей, чтобы одолеть Уильмура!"
popup_swipe_mode_boss_title,"Одолей Уильмура!"
popup_swipe_mode_clear_all,"Убери все шарики!"
popup_swipe_mode_clear_all_title,"Убери все!"
popup_swipe_mode_collect,"Совмещай шарики с шариками совушек, чтобы освободить их!"
popup_swipe_mode_collect_title,"Освободи совушек!"
popup_swipe_mode_defeat_morgana,"Лопай шарики возле Морганы!"
popup_swipe_mode_defeat_morgana_title,"Победи Моргану!"
popup_swipe_mode_ghost,"Проведи привидение наверх!"
popup_swipe_mode_ghost_title,"Помоги привидению!"
popup_swipe_win,Победа!
popup_terms_of_service,"Условия пользования"
popup_timer_full_day,день
popup_timer_full_days,дн.
popup_update_button,Обновить
popup_upload_button,Загрузка
popup_upload_text,"Теперь ты можешь изменить свою фотографию в профиле! Пора быть самим собой!"
popup_upload_title,"Фото в профиле"
popup_video_help_button,"Смотреть видео"
popup_video_help_title,"Узнай, как пройти этот уровень"
popup_visit_button,Визит
popups_crm_magic_channel_setting_button,Чудо-канал
popups_timer_days,"{0} д"
popups_timer_hours,{0}ч
popups_timer_minutes,{0}м
reward_moves_left_keep_playing,"В игру"
reward_moves_left_message,"Шарики {0}/{1}"
reward_moves_left_name,"Шариковая добыча"
treasure_gob.chest_open,Открыть
treasure_gob.closure_text,"Теперь у тебя есть ключ к таинственному сундуку. Чао!"
treasure_gob.feature_name,"Охота за кладом"
treasure_gob.pn.hurry,"Спеши! Я уйду и заберу таинственный ключ через {0}!"
treasure_gob.pn.hurry_2,"Поспеши! Через {0} ч. {1} мин. я уйду и заберу таинственный ключ!"
treasure_gob.pn.hurry_3,"Спеши! Скоро я уйду и заберу таинственный ключ!
Осталось времени: {0} ч. {1} мин."
treasure_gob.popup.reward,"Я попался! Вот тебе таинственный ключ."
treasure_gob.popup_chest_found,"У тебя есть таинственный сундук"
treasure_gob.popup_expiredkey,"У тебя не вышло меня поймать, так что я пока отчаливаю вместе с ключом!"
treasure_gob.popup_key_needed,"Найди меня и получи ключ!"
